"","REGION","OBS_YEAR","TOT_AREA_HA","tot.N","Response","Fish.grp","TAXONNAME","Size.bin","Size","Fxn.grp","pool.mean","pool.var","pool.se"
"36","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus triostegus","5 cmTL","(15,20]",NA,3.97867278661718e-06,1.56485794657586e-11,3.95582854352392e-06
"37","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus triostegus","5 cmTL","(20,25]",NA,1.10096861461735e-06,1.16197470870186e-12,1.07794930711136e-06
"38","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus triostegus","5 cmTL","(5,10]",NA,0.000109345545255557,3.10830027725005e-09,5.57521324906057e-05
"39","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus triostegus","5 cmTL","[0,5]",NA,0,0,0
"40","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus xanthopterus","10 cmTL","(10,20]",NA,0,0,0
"41","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus xanthopterus","10 cmTL","(20,30]",NA,0,0,0
"42","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus xanthopterus","10 cmTL","(30,40]",NA,0,0,0
"43","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus xanthopterus","10 cmTL","(40,50]",NA,0,0,0
"44","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus xanthopterus","5 cmTL","(15,20]",NA,0,0,0
"45","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus xanthopterus","5 cmTL","(20,25]",NA,0,0,0
"46","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus xanthopterus","5 cmTL","(25,30]",NA,0,0,0
"47","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus xanthopterus","5 cmTL","(30,35]",NA,0,0,0
"48","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus xanthopterus","5 cmTL","(35,40]",NA,0,0,0
"49","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus xanthopterus","5 cmTL","(40,45]",NA,0,0,0
"50","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus xanthopterus","5 cmTL","(45,50]",NA,0,0,0
"51","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx ignobilis","10 cmTL","(100,110]",NA,0,0,0
"52","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx ignobilis","10 cmTL","(110,120]",NA,0,0,0
"53","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx ignobilis","10 cmTL","(40,50]",NA,0,0,0
"54","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx ignobilis","10 cmTL","(60,70]",NA,0,0,0
"55","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx ignobilis","10 cmTL","(70,80]",NA,0,0,0
"56","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx ignobilis","10 cmTL","(80,90]",NA,0,0,0
"57","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx ignobilis","10 cmTL","(90,100]",NA,0,0,0
"58","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx ignobilis","5 cmTL","(105,110]",NA,0,0,0
"59","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx ignobilis","5 cmTL","(110,115]",NA,0,0,0
"60","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx ignobilis","5 cmTL","(45,50]",NA,0,0,0
"61","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx ignobilis","5 cmTL","(65,70]",NA,0,0,0
"62","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx ignobilis","5 cmTL","(70,75]",NA,0,0,0
"63","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx ignobilis","5 cmTL","(75,80]",NA,0,0,0
"64","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx ignobilis","5 cmTL","(85,90]",NA,0,0,0
"65","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx ignobilis","5 cmTL","(95,100]",NA,0,0,0
"66","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx melampygus","10 cmTL","(10,20]",NA,6.75364768330206e-06,2.74807698267932e-11,5.24221039512849e-06
"67","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx melampygus","10 cmTL","(20,30]",NA,0.000127591069939379,9.97446691472266e-10,3.15823794460181e-05
"68","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx melampygus","10 cmTL","(30,40]",NA,0.000172811148457223,2.56059017076731e-09,5.06022743635828e-05
"69","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx melampygus","10 cmTL","(40,50]",NA,7.38114163007741e-05,6.94155801425388e-10,2.63468366493093e-05
"70","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx melampygus","10 cmTL","(50,60]",NA,2.3006403988461e-06,2.54653326482703e-12,1.59578609620056e-06
"71","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx melampygus","10 cmTL","(60,70]",NA,1.0378770831845e-05,1.07246054975369e-10,1.03559671192685e-05
"72","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx melampygus","10 cmTL","(70,80]",NA,7.81741266125013e-06,6.07558003305823e-11,7.79460071655901e-06
"73","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx melampygus","10 cmTL","[0,10]",NA,0,0,0
"74","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx melampygus","5 cmTL","(10,15]",NA,0,0,0
"75","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx melampygus","5 cmTL","(15,20]",NA,6.75364768330206e-06,2.74807698267932e-11,5.24221039512849e-06
"76","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx melampygus","5 cmTL","(20,25]",NA,4.92426993022824e-05,3.46356268526625e-10,1.8610649331139e-05
"77","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx melampygus","5 cmTL","(25,30]",NA,7.83483706370963e-05,5.59587368129635e-10,2.36555990862551e-05
"78","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx melampygus","5 cmTL","(30,35]",NA,0.000112438817358901,1.86638786921729e-09,4.32017114153743e-05
"79","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx melampygus","5 cmTL","(35,40]",NA,6.0372331098323e-05,5.11249009925336e-10,2.26108162153721e-05
"80","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx melampygus","5 cmTL","(40,45]",NA,4.91451104144779e-05,5.75064216695557e-10,2.39804965898448e-05
"81","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx melampygus","5 cmTL","(45,50]",NA,2.46663058862962e-05,1.4557004643594e-10,1.20652412506315e-05
"82","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx melampygus","5 cmTL","(50,55]",NA,1.19967178422875e-06,1.38455855612517e-12,1.17667266311628e-06
"83","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx melampygus","5 cmTL","(55,60]",NA,1.10096861461735e-06,1.16197470870186e-12,1.07794930711136e-06
"84","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx melampygus","5 cmTL","(60,65]",NA,1.0378770831845e-05,1.07246054975369e-10,1.03559671192685e-05
"85","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx melampygus","5 cmTL","(65,70]",NA,0,0,0
"86","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx melampygus","5 cmTL","(70,75]",NA,7.81741266125013e-06,6.07558003305823e-11,7.79460071655901e-06
"87","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx melampygus","5 cmTL","(75,80]",NA,0,0,0
"88","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx melampygus","5 cmTL","[0,5]",NA,0,0,0
"89","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx sexfasciatus","10 cmTL","(20,30]",NA,0,0,0
"90","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx sexfasciatus","10 cmTL","(30,40]",NA,0,0,0
"91","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx sexfasciatus","10 cmTL","(40,50]",NA,0,0,0
"92","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx sexfasciatus","10 cmTL","(50,60]",NA,0,0,0
"93","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx sexfasciatus","10 cmTL","(60,70]",NA,0,0,0
"94","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx sexfasciatus","5 cmTL","(25,30]",NA,0,0,0
"95","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx sexfasciatus","5 cmTL","(30,35]",NA,0,0,0
"96","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx sexfasciatus","5 cmTL","(35,40]",NA,0,0,0
"97","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx sexfasciatus","5 cmTL","(40,45]",NA,0,0,0
"98","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx sexfasciatus","5 cmTL","(45,50]",NA,0,0,0
"99","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx sexfasciatus","5 cmTL","(50,55]",NA,0,0,0
"100","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx sexfasciatus","5 cmTL","(55,60]",NA,0,0,0
"101","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Caranx sexfasciatus","5 cmTL","(60,65]",NA,0,0,0
"102","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cephalopholis argus","10 cmTL","(10,20]",NA,0,0,0
"103","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cephalopholis argus","10 cmTL","(20,30]",NA,0,0,0
"104","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cephalopholis argus","10 cmTL","(30,40]",NA,0,0,0
"105","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cephalopholis argus","10 cmTL","(40,50]",NA,0,0,0
"106","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cephalopholis argus","10 cmTL","[0,10]",NA,0,0,0
"107","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cephalopholis argus","5 cmTL","(10,15]",NA,0,0,0
"108","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cephalopholis argus","5 cmTL","(15,20]",NA,0,0,0
"109","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cephalopholis argus","5 cmTL","(20,25]",NA,0,0,0
"110","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cephalopholis argus","5 cmTL","(25,30]",NA,0,0,0
"111","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cephalopholis argus","5 cmTL","(30,35]",NA,0,0,0
"112","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cephalopholis argus","5 cmTL","(35,40]",NA,0,0,0
"113","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cephalopholis argus","5 cmTL","(40,45]",NA,0,0,0
"114","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cephalopholis argus","5 cmTL","(5,10]",NA,0,0,0
"115","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus fasciatus","10 cmTL","(10,20]",NA,5.57416038885308e-05,4.75839889903883e-10,2.18137546035496e-05
"116","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus fasciatus","10 cmTL","(20,30]",NA,6.37287090543854e-05,1.44272647717806e-09,3.79832394244891e-05
"117","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus fasciatus","10 cmTL","(30,40]",NA,0,0,0
"118","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus fasciatus","10 cmTL","[0,10]",NA,4.7151828253612e-05,2.21470246357056e-09,4.70606254056462e-05
"119","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus fasciatus","5 cmTL","(10,15]",NA,2.11942041318985e-05,1.79490983845436e-10,1.3397424522849e-05
"120","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus fasciatus","5 cmTL","(15,20]",NA,3.45473997566323e-05,2.73732680049259e-10,1.65448686924152e-05
"121","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus fasciatus","5 cmTL","(20,25]",NA,4.20078549716887e-05,5.57075894202266e-10,2.36024552579232e-05
"122","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus fasciatus","5 cmTL","(25,30]",NA,2.17208540826967e-05,3.10732980054792e-10,1.76276198068484e-05
"123","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus fasciatus","5 cmTL","(30,35]",NA,0,0,0
"124","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus fasciatus","5 cmTL","(35,40]",NA,0,0,0
"125","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus fasciatus","5 cmTL","(5,10]",NA,4.7151828253612e-05,2.21470246357056e-09,4.70606254056462e-05
"126","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus fasciatus","5 cmTL","[0,5]",NA,0,0,0
"127","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","10 cmTL","(10,20]",NA,0,0,0
"128","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","10 cmTL","(100,110]",NA,0,0,0
"129","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","10 cmTL","(110,120]",NA,0,0,0
"130","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","10 cmTL","(120,130]",NA,0,0,0
"131","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","10 cmTL","(130,140]",NA,0,0,0
"132","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","10 cmTL","(140,150]",NA,0,0,0
"133","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","10 cmTL","(160,170]",NA,0,0,0
"134","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","10 cmTL","(20,30]",NA,5.14255389349838e-06,1.73122624732933e-11,4.16080070098211e-06
"135","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","10 cmTL","(30,40]",NA,5.8040921488651e-06,2.30670839739158e-11,4.80282041866192e-06
"136","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","10 cmTL","(40,50]",NA,1.10096861461735e-06,1.16197470870186e-12,1.07794930711136e-06
"137","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","10 cmTL","(50,60]",NA,4.04158527888103e-06,1.61502877645914e-11,4.01874206246076e-06
"138","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","10 cmTL","(60,70]",NA,0,0,0
"139","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","10 cmTL","(70,80]",NA,1.10096861461735e-06,1.16197470870186e-12,1.07794930711136e-06
"140","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","10 cmTL","(80,90]",NA,0,0,0
"141","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","10 cmTL","(90,100]",NA,1.7017730548449e-05,2.88827870789578e-10,1.69949366221113e-05
"142","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(100,105]",NA,0,0,0
"143","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(105,110]",NA,0,0,0
"144","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(110,115]",NA,0,0,0
"145","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(115,120]",NA,0,0,0
"146","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(120,125]",NA,0,0,0
"147","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(125,130]",NA,0,0,0
"148","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(135,140]",NA,0,0,0
"149","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(145,150]",NA,0,0,0
"150","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(15,20]",NA,0,0,0
"151","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(165,170]",NA,0,0,0
"152","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(25,30]",NA,5.14255389349838e-06,1.73122624732933e-11,4.16080070098211e-06
"153","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(30,35]",NA,4.70312353424775e-06,2.1905109265214e-11,4.68028944246122e-06
"154","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(35,40]",NA,1.10096861461735e-06,1.16197470870186e-12,1.07794930711136e-06
"155","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(40,45]",NA,1.10096861461735e-06,1.16197470870186e-12,1.07794930711136e-06
"156","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(45,50]",NA,0,0,0
"157","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(50,55]",NA,0,0,0
"158","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(55,60]",NA,4.04158527888103e-06,1.61502877645914e-11,4.01874206246076e-06
"159","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(60,65]",NA,0,0,0
"160","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(65,70]",NA,0,0,0
"161","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(70,75]",NA,0,0,0
"162","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(75,80]",NA,1.10096861461735e-06,1.16197470870186e-12,1.07794930711136e-06
"163","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(80,85]",NA,0,0,0
"164","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(85,90]",NA,0,0,0
"165","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(90,95]",NA,0,0,0
"166","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Cheilinus undulatus","5 cmTL","(95,100]",NA,1.7017730548449e-05,2.88827870789578e-10,1.69949366221113e-05
"167","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Chlorurus frontalis","10 cmTL","(10,20]",NA,0.000214119175280569,3.08197662680777e-08,0.000175555593098248
"168","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Chlorurus frontalis","10 cmTL","(20,30]",NA,0.000262344712500349,2.45852192861995e-08,0.000156796745139048
"169","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Chlorurus frontalis","10 cmTL","(30,40]",NA,3.72754669197834e-05,6.39924600662943e-10,2.52967310272087e-05
"170","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Chlorurus frontalis","10 cmTL","(40,50]",NA,3.23206647636811e-05,3.31257692104958e-10,1.82004860403495e-05
"171","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Chlorurus frontalis","10 cmTL","(60,70]",NA,0,0,0
"172","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Chlorurus frontalis","10 cmTL","[0,10]",NA,0,0,0
"173","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Chlorurus frontalis","5 cmTL","(10,15]",NA,1.74982334128286e-05,1.60744178016225e-10,1.26784927343997e-05
"174","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Chlorurus frontalis","5 cmTL","(15,20]",NA,0.00019662094186774,2.67722883508064e-08,0.000163622395627269
"175","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Chlorurus frontalis","5 cmTL","(20,25]",NA,0.000230834231461301,2.41836009411471e-08,0.000155510774357107
"176","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Chlorurus frontalis","5 cmTL","(25,30]",NA,3.15104810390483e-05,2.88679046112045e-10,1.69905575574213e-05
"177","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Chlorurus frontalis","5 cmTL","(30,35]",NA,2.17688070214341e-05,1.91346430154163e-10,1.38328026861574e-05
"178","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Chlorurus frontalis","5 cmTL","(35,40]",NA,1.55066598983493e-05,1.4857719307652e-10,1.21892244657533e-05
"179","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Chlorurus frontalis","5 cmTL","(40,45]",NA,1.60832759198245e-05,1.02603654577167e-10,1.01293462067977e-05
"180","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Chlorurus frontalis","5 cmTL","(45,50]",NA,1.62373888438566e-05,2.29583617294753e-10,1.51520169381754e-05
"181","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Chlorurus frontalis","5 cmTL","(65,70]",NA,0,0,0
"182","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Chlorurus frontalis","5 cmTL","[0,5]",NA,0,0,0
"183","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Chlorurus japanensis","10 cmTL","(10,20]",NA,0,0,0
"184","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Chlorurus japanensis","10 cmTL","(20,30]",NA,0,0,0
"185","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Chlorurus japanensis","10 cmTL","(30,40]",NA,0,0,0
"186","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Chlorurus japanensis","10 cmTL","[0,10]",NA,0,0,0
